id,text,user,created,display_text_start,display_text_end
1441831524312109058,My new cereal is helping kids play sports with #MissionTiger! Thanks @GMA for talking with me about my dream of being on a box of @Frosted_Flakes: https://t.co/nNsmDU5PYp #FrostedFlakesPartner https://t.co/pVL1TCGGxG,shaq,2021-09-25 18:26:37+00:00,0,192
1441506797773262849,It’s not just a car wash – it’s @MisterCarWash. Together we’re giving away 100 FREE 1-year Platinum Unlimited Wash Club memberships to use at ANY of Mister Car Wash’s 350+ locations. Enter to win here: https://t.co/k2IAnewlMy https://t.co/fogsrn6FEJ,shaq,2021-09-24 20:56:17+00:00,0,225
1441495142486138882,Join me and the The Shaquille O’Neal Foundation with @kellyclarkson @justinbieber @AndraDayMusic @Imaginedragons and @SnoopDogg on October 2nd at the MGM Grand Garden Arena in Las Vegas for a night of music and comedy. Tickets on sale now: https://t.co/9V0os1D5N5 https://t.co/1qhGCr4weG,shaq,2021-09-24 20:09:58+00:00,0,263
1440718747275202566,Catch me on the @kellyclarksontv LA premiere week today! https://t.co/zDcFwa35fk,shaq,2021-09-22 16:44:51+00:00,0,56
1438667656555601923,Did you know you could donate $10 to charity by posting your family pizza night? Here’s how to join me and @PapaJohns. https://t.co/jKRErom2R6,shaq,2021-09-17 00:54:33+00:00,0,118
1437212058496471040,"Who has time for receipts? Not me. The @EpsonAmerica RapidReceipt scanner is fast, easy, and smart. Receipts go in, and stress goes out. The #Epson #RapidReceipt scanner...piece of cake, baby. https://t.co/IEoeL1ZWOn",shaq,2021-09-13 00:30:31+00:00,0,192
1435597517006249986,"You know Tony and I couldn’t choose just one city! With the help of my new cereal, Tony and #MissionTiger are making donations today in all 6 cities I called home, helping to reach Mission Tiger’s goal of impacting 1 million kids by the end of 2021. #FrostedFlakesPartner https://t.co/BkbPp5HEdD",shaq,2021-09-08 13:34:54+00:00,0,271
1435247332296175618,My pal Tony and I are planning something BIG very soon. Which of my cities should we make it happen in? Got a favorite?  #MissionTiger #FrostedFlakesPartner https://t.co/iGrvP5yl31,shaq,2021-09-07 14:23:24+00:00,0,156
1432432220623540227,Join me on October 2nd at the MGM Grand Garden Arena in Las Vegas for an amazing night of music and comedy. Proceeds will provide opportunities and resources to kids in need. Tickets on sale now: https://t.co/9V0os1D5N5 https://t.co/XGh8cylN1N,shaq,2021-08-30 19:57:09+00:00,0,219
1432340312710696962,"Now I KNOW @benaffleck wasn’t about to dis Miami! Had a great time with this one for @WynnBET — the new sportsbook app from Wynn that’s all about betting together. Enjoy the moves, courtesy of yours truly. And then go sign up if you can bet in your state. https://t.co/bhKv1aqdQr",shaq,2021-08-30 13:51:56+00:00,0,255
1431066946427146240,"Join me on August 29th at the Invicta Store Las Vegas North Premium Outlets location as I introduce #powerful designs, ready to make a statement on your wrist. At 3pm, come meet me and our hottest additions to the #Invicta x #SHAQ collection! #wristgame #meetandgreet https://t.co/0Wd6o0Nze4",shaq,2021-08-27 01:32:02+00:00,0,267
1428534156921802757,Grateful to work with @thesteadyapp and @intuit to give people the tools they need to earn a more stable income. Vote here for our #SXSW panel on closing the #RacialWealthGap: https://t.co/ipOOBHSfMI https://t.co/2NbwtpakKJ,shaq,2021-08-20 01:47:38+00:00,0,199
1425642264282472448,It’s officially Back to Fun on @CarnivalCruise and it’s time to sing a different tune. Specifically opera-based tunes. #ChooseFun #Carnival https://t.co/kxSpS4Dl17,shaq,2021-08-12 02:16:17+00:00,0,139
1422718625107095554,"@CarnivalCruise We’re BACK TO FUN, baby! I may just have to belt out and sing about it. 😜",shaq,2021-08-04 00:38:47+00:00,16,89
1416163808423317506,"Smooth like butter. Just say, “Alexa, introduce me to Shaq” to start using my voice. @Alexa99 😉 https://t.co/OziowsJ6b6",shaq,2021-07-16 22:32:17+00:00,0,95
1415429056267436033,Big news is ticking…Join me at the Sawgrass Mills Mall Invicta Store in FL on July 16th as I present the hottest additions to the #Invicta x #SHAQ collection! 🔥 Not in FL? Visit https://t.co/PCRgf6aNJz to discover store locations near you and catch my #wristgame there. https://t.co/3MHbc899Vl,shaq,2021-07-14 21:52:39+00:00,0,269
1415141221505318913,"The best Mayor in NJ, thxs for your support @rasjbaraka",shaq,2021-07-14 02:48:53+00:00,0,55
1414745371457241090,Boom! Say goodbye to cartridges…the @EpsonAmerica #EcoTank printer comes with a ridiculous amount of ink. #justfillandchill https://t.co/h947lyaJ4m,shaq,2021-07-13 00:35:55+00:00,0,123
1414740176706867205,"@jcpenney @NBAonTNT @TheJetOnTNT @NBATV @JCP It's the finals, baby! If you're wearing pants—you're on the bench.",shaq,2021-07-13 00:15:17+00:00,40,112
1408255141023780870,Make every Backyard Movie Night epic with the @EpsonAmerica #EpiqVision Mini Projector. #TheEpicanator #BiggerandBadderBaby https://t.co/i7eWMAWKsN,shaq,2021-06-25 02:46:04+00:00,0,123
1407759264978931716,Excited to close this $FRX @Beachbody and @MyxFitness merger with my partners at @forestroadco on 6/25 pending a successful shareholder vote tomorrow on 6/24!  Trading as $BODY on 6/28!  LET’S GO!!,shaq,2021-06-23 17:55:38+00:00,0,197
1407088258798993411,Summer break is HERE! @thegeneralauto wants to help you get where you're going with a chance to win a cash gift card. Go check out the pinned tweet on how to enter. #TGSummerBreak,shaq,2021-06-21 21:29:17+00:00,0,179
1405659413503938561,GF-9 is the real deal. Just ask the ladies 😉 @novexbiotech #novexpartner https://t.co/3yo4xVosRN,shaq,2021-06-17 22:51:34+00:00,0,72
1405654794971328513,"@roselavelle @icyhot Rose, excited you’re joining me on team @icyhot – let’s get to work! 🔥",shaq,2021-06-17 22:33:13+00:00,21,91
1404963280033140740,"Haven’t entered @jcpenney's Big Zaddy Challenge yet? Tomorrow, June 16, is the last day to enter for the chance to win a gift card + makeover the dad in your life for Father’s Day. To enter, post a picture of your dad using #JCPBigZaddy and tag @jcpenney. Let’s make it happen! https://t.co/dOZ2wZ5kbt",shaq,2021-06-16 00:45:23+00:00,0,277
1404564228908933123,"I’m back, baby! Feel the power of contrast therapy, so you can rise from pain! @icyhot https://t.co/XVa4xSGUZY",shaq,2021-06-14 22:19:42+00:00,0,86
1403069351843045383,Re-tweet this post that includes #PostForPencils and @WeRTiconderoga will donate 20 pencils up to 3M to under-resourced students through @KidsInNeed. Join us in creating equitable learning environments. Learn more: https://t.co/tjGhQFTYav https://t.co/ZfwB4p9Gr6,shaq,2021-06-10 19:19:35+00:00,0,238
1402021345613975559,Thanks for having me on brother! @OmidFarhang https://t.co/HsYaT83pR4,shaq,2021-06-07 21:55:11+00:00,0,45
1400751152765935620,@iamjohnoliver anytime you want to join me and Tony for breakfast pull up https://t.co/Q47YDRH15a,shaq,2021-06-04 09:47:54+00:00,0,73
1400579857092956167,"Is your dad style challenged? Ready to take him from daddy to zaddy? 🔥 This Father’s Day, give dad the swagger he needs with JCPenney’s Big Zaddy Challenge. To enter, post a picture of your dad using #JCPBigZaddy and tag @jcpenney. The last day to enter is June 16. Stay sexy! https://t.co/P4zYHx7u3d",shaq,2021-06-03 22:27:14+00:00,0,276
1400237741355540482,I knew Epic Stuffed Crust was EPIC but I had to go undercover to see for myself. @PapaJohns  https://t.co/uj8LWFnuhd https://t.co/rZKEPtk2eF,shaq,2021-06-02 23:47:47+00:00,0,116
1398066390121254916,@MikeMiss25 Ha ha ha I just threw my headphones in laughter,shaq,2021-05-27 23:59:36+00:00,12,59
1396642639315824642,My @NRGgg boys doing the @TheGeneralAuto proud with back to back championships! https://t.co/ZJDMw2YGCl,shaq,2021-05-24 01:42:08+00:00,0,79
1395901393869975554,I know you’ve been hustling all year and it’s finally time 🎓 I’ve got the study guide for an A+ graduation. Extra credit if you wear @jcpenney  on the big day 👉 https://t.co/VGRatTZtIt https://t.co/EpEyxwHzAI,shaq,2021-05-22 00:36:41+00:00,0,184
1395576018367303682,"Pick up the new issue of @mensjournal to read about my workouts, motivation, and @novexbiotech GF9.
https://t.co/kCEjpkcikY via @MensJournal",shaq,2021-05-21 03:03:45+00:00,0,140
1394767565025591301,Always a great time on @JimmyKimmelLive. Looking forward to next time my brother! https://t.co/mjadkhtn6S,shaq,2021-05-18 21:31:15+00:00,0,81
1394652332873355267,@JohnKincade @Phillies Leave the refs alone John love u miss u dude,shaq,2021-05-18 13:53:22+00:00,23,67
1394401648533934080,"You don’t have to look twice. With realistic photo quality, the @EpsonAmerica #EcoTank Photo Printer is the real thing! #gotcha #nocartridges #justfillandchill https://t.co/H58qCbgc2w",shaq,2021-05-17 21:17:14+00:00,0,159
1393637082287853574,"Improve energy and endurance to go harder, faster, strong with @NovexBiotech Oxydrene.
#novex #novexbiotech #novexpartner #oxydrene https://t.co/6QBkpiIm4T",shaq,2021-05-15 18:39:07+00:00,0,131
1392932907140980746,Take your hydration to the next level. The @alkaline88 Water Company. $WTER #hydration #alkalinewater #alkaline88 https://t.co/anfkAnwNaX,shaq,2021-05-13 20:00:59+00:00,0,113
1391133314149388290,"This Mother’s Day, I’m following my mom’s advice and giving her what she really wants – a whole lot of love (and a JCPenney shopping trip). Check out what else I’m including in my coupon book and find even more gifts your mom will love at @JCPenney 👉 https://t.co/QFuJNV6iBe https://t.co/AtUv2W9kPD",shaq,2021-05-08 20:50:02+00:00,0,274
1390149899258318852,Shaq's Fun House is nominated for a Webby Award for the best sports livestream of 2020! https://t.co/yVjR3Yl3Ie https://t.co/965Hr6ey3m,shaq,2021-05-06 03:42:18+00:00,0,111
1388523711368736773,My bid is on the GOAT... @EthernityChain  just dropped four exclusive Muhammad Ali NFTs created by @rafagrassetti. Now at https://t.co/Ib1DmZ1Zd4 https://t.co/RdH9PUamk8,shaq,2021-05-01 16:00:24+00:00,0,145
1387963645146058755,Your business is ready for the bigtime with #Epson #BusinessProjectors! The picture is 4X bigger than a 70-inch flat panel. #Epsonize #3LCD #biggerandbadderbaby https://t.co/XcRJD2j6UD,shaq,2021-04-30 02:54:54+00:00,0,160
1387533365893505024,Enjoyed this conversation between @RexChapman and my agent @PerryRogers. @Head_Heart_Pod is a great listen. https://t.co/2KWwujB2TH,shaq,2021-04-28 22:25:08+00:00,0,107
1386863363079217153,I'm excited to announce that I'll be joining the @WynnNightlife family again for my 2021 and 2022 residency! @XSlasvegas @EncoreBeachClub https://t.co/vTfejUmlSY,shaq,2021-04-27 02:02:47+00:00,0,137
1381774737265803268,Make sure y'all tune into #PainKiller tonight at 9pm on @cwblacklightning #blacklightning #painkiller https://t.co/iPB6J7Cdnu,shaq,2021-04-13 01:02:24+00:00,0,101
1380999325728141312,Feeling the epic vibes...@PapaJohns #EpicStuffedCrust https://t.co/DZD4VD8wvJ,shaq,2021-04-10 21:41:11+00:00,0,53
1378121379724267526,Still going strong with GF9 @novexbiotech #novexpartner https://t.co/wwWLBsU0on,shaq,2021-04-02 23:05:15+00:00,0,55
